time_from_start,base_x,base_y,base_theta,shoulder_pan_joint,shoulder_lift_joint,arm_elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
4.44,0.4392446320227776,1.4449096627461955,-0.23608634125363523,-0.28991856094171425,-1.5094329502691464,-1.5150358595485232,-0.8156381208758811,0.37511875215491014,3.10396201721026
4.45,0.43883642798958006,1.4445133153594774,-0.2363901698109118,-0.29012137726142523,-1.509557753495027,-1.515257176384802,-0.8159877452635981,0.37548092841714487,3.103992233077523
4.46,0.43843121617670056,1.444112970019167,-0.2366938046857647,-0.2903226903073671,-1.50968263687502,-1.5154764104407545,-0.816335952035573,0.3758420196080722,3.1040221405607613
4.47,0.4380289613250404,1.4437086266542027,-0.2369972620583252,-0.2905225176801291,-1.509807606265004,-1.5156935831117826,-0.8166827657234629,0.37620204924244377,3.104051742699946
4.48,0.4376296306846571,1.443300285197638,-0.23730055695756894,-0.2907208757277807,-1.50993266710427,-1.5159087142706567,-0.8170282091133259,0.37656103916183636,3.1040810423187035
4.49,0.4372331938555055,1.4428879455863595,-0.237603703334388,-0.290917779625371,-1.5100578244419645,-1.5161218223641573,-0.8173723033564196,0.3769190096408551,3.104110042038044
4.5,0.436839622640972,1.4424716077608266,-0.23790671412879205,-0.2911132434480409,-1.5101830829614098,-1.516332924501953,-0.8177150680710994,0.37727597948480535,3.1041387442889916
4.51,0.43644889091299943,1.4420512716648337,-0.23820960133179178,-0.29130728023834995,-1.5103084470025008,-1.5165420365384465,-0.8180565214366526,0.3776319661196348,3.104167151324212
4.52,0.4360609744877266,1.4416269372452928,-0.23851237604245706,-0.2914999020683549,-1.5104339205823525,-1.516749173148239,-0.8183966802798176,0.3779869856748638,3.1041952652287375
4.53,0.4356758510106828,1.4411986044520326,-0.2388150485205912,-0.29169112009691794,-1.5105595074143632,-1.5169543478957968,-0.8187355601546545,0.37834105306014343,3.1042230879298627
4.54,0.4352934998506773,1.4407662732376152,-0.23911762823541557,-0.2918809446226747,-1.510685210925833,-1.517157573299841,-0.8190731754163676,0.3786941820360151,3.104250621206296
4.55,0.43491390200161817,1.440329943557165,-0.23942012391061582,-0.2920693851330447,-1.510811034274267,-1.517358860892928,-0.8194095392896104,0.3790463852793829,3.104277866696624
4.5600000000000005,0.4345370399915654,1.439889615368215,-0.23972254356606876,-0.2922564503496299,-1.510936980362474,-1.517558221276637,-0.8197446639317576,0.37939767444416045,3.104304825907152
4.57,0.4341628977983993,1.43944528863056,-0.24002489455653375,-0.29244214827031123,-1.5110630518525696,-1.5177556641727439,-0.8200785604915752,0.3797480602175074,3.104331500219177
4.58,0.4337914607715437,1.438996963306124,-0.2403271836075666,-0.29262648620832304,-1.5111892511789742,-1.5179511984707235,-0.8204112391636776,0.3800975523720276,3.104357890895736
4.59,0.4334227155592398,1.4385446393588373,-0.24062941684888567,-0.2928094708285561,-1.5113155805604859,-1.5181448322718807,-0.8207427092391234,0.3804461598142656,3.1043839990878768
4.6,0.4330566500409138,1.4380883167545218,-0.24093159984540183,-0.2929911081813185,-1.5114420420115113,-1.5183365729303913,-0.8210729791524671,0.380793890629807,3.1044098258404897
4.61,0.43269325326422614,1.4376279954607853,-0.2412337376260995,-0.2931714037337598,-1.5115686373525172,-1.518526427091503,-0.8214020565255542,0.3811407521252559,3.104435372097734
4.62,0.43232985849027294,1.4371636748817707,-0.2415370525294615,-0.2933516886764784,-1.5116958087903432,-1.5187160132648339,-0.8217317959597564,0.3814885216968316,3.1044608678408863
4.63,0.4319633382371272,1.4366953543046166,-0.24184297808636276,-0.29353352419510187,-1.5118240749356784,-1.5189072295953696,-0.8220643724855882,0.38183928383172133,3.104486582785821
4.64,0.43159368747662363,1.4362230337274628,-0.24215151660175288,-0.2937169127996028,-1.511953436622415,-1.5191000791347786,-0.8223997896000428,0.38219304188139247,3.104512517366161
4.65,0.4312209062087623,1.4357467131503088,-0.24246266807563194,-0.2939018544899812,-1.5120838938505525,-1.519294561883061,-0.8227380473031203,0.38254979584584503,3.1045386715819063
4.66,0.43084499443354324,1.4352663925731548,-0.24277643250799985,-0.294088349266237,-1.5122154466200914,-1.5194906778402164,-0.8230791455948206,0.3829095457250791,3.1045650454330573
4.67,0.4304659521509662,1.4347820719960007,-0.24309280989885673,-0.2942763971283703,-1.5123480949310317,-1.5196884270062452,-0.8234230844751439,0.3832722915190947,3.104591638919613
4.68,0.4300837793610315,1.4342937514188467,-0.24341180024820255,-0.294465998076381,-1.5124818387833734,-1.5198878093811472,-0.8237698639440902,0.3836380332278917,3.1046184520415743
