Data_0,Data_1,Data_2,Data_3,Data_4,Data_5,Data_6,Data_7,Data_8
-0.002610532454651926,1.097608888164004,0.3637556177537034,1.823789384026477,-0.14370964944567877,-1.0798713342735504,0.7090673687422517,1.5655476773969408,-1.4727877130088085
-0.001514031182062725,1.0962771432893024,0.3640791220435674,1.8240202774221816,-0.1430601781231764,-1.078855160963186,0.7097434043561397,1.5654906839110418,-1.474120250094993
-0.00042443728209762277,1.0949558156225738,0.36440068047551777,1.824250023329777,-0.14241471549678308,-1.0778451703928358,0.7104152917498706,1.5654340595328216,-1.4754446704260604
0.0006582593661683678,1.0936453455796005,0.36472029195448935,1.8244782086383675,-0.1417732582000657,-1.0768415364989297,0.7110829941556117,1.5653777867296652,-1.4767608919312984
0.0017340590505847686,1.0923452174232537,0.36503795543743256,1.8247049074764063,-0.14113575626483876,-1.0758439573393364,0.7117465700753185,1.565321848801757,-1.4780688364383539
0.002802971397659837,1.0910558751470796,0.36535366993084273,1.8249301904512445,-0.14050225561972163,-1.0748526129307563,0.7124060284704454,1.565266229842523,-1.4793688971046401
0.0038650055766424884,1.0897768064217699,0.36566738772674856,1.825154124816384,-0.1398727532500662,-1.0738676747390967,0.7130613311151198,1.5652109147009512,-1.4806605131794333
0.004920165645076802,1.0885079908702389,0.36597915690662347,1.8253767746307858,-0.1392472462844202,-1.072888838469054,0.7137124883608561,1.5651558889457025,-1.4819440857808293
0.00596845546777347,1.0872494090833122,0.36628897650641284,1.8255977332940292,-0.13862568522606722,-1.0719162818959316,0.7143595100674718,1.5651011388309264,-1.483219529357234
0.007009841316638177,1.086001510190332,0.3665968456078547,1.825817548752375,-0.13800816321435905,-1.0709497067341258,0.7150024056264429,1.5650466512637007,-1.4844867624207543
0.008044328474987594,1.0847633191372554,0.36690276333630456,1.826035807691475,-0.1373946286795542,-1.0699892964831794,0.7156411372214924,1.5649924137730167,-1.485745707354172
0.009071926651346374,1.0835353100348475,0.3672067288586634,1.826252584045994,-0.13678507926313188,-1.0690352259264069,0.7162757155942744,1.5649388820968189,-1.4869962902270866
0.010092640416918819,1.082317466857032,0.36750869461974645,1.826467948238699,-0.13617951271860096,-1.068087661544915,0.7169061509762146,1.5648855550923388,-1.4882389082373717
0.011106478801942599,1.081109774338971,0.3678087088465563,1.8266819673472765,-0.13557797366783686,-1.0671462942953784,0.7175324531127458,1.56483242303767,-1.4894734720994223
0.012113450407719162,1.0799117503243263,0.36810677071365483,1.8268947052632223,-0.1349804110898597,-1.066210829814029,0.7181545845247348,1.564779944289277,-1.490699896768699
0.01311355875082243,1.0787234031757658,0.3684028794348123,1.8271057552266066,-0.1343868231488442,-1.0652819229525383,0.7187726030366232,1.5647276201985307,-1.4919181012402785
0.014106811856954726,1.077545208475311,0.3686969874994868,1.827315665031756,-0.1337972080961669,-1.0643592622239633,0.7193864702028756,1.5646754434191936,-1.4931280083569707
