@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
--- 第8个点: x: -0.00049182 , y: -0.0383009 , theta: -0.0126033
--- 第9个点: x: -0.000510187 , y: -0.0397312 , theta: -0.013074
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.000363252 , y: -0.0282885 , theta: -0.00930869
--- 第1个点: x: -0.000381619 , y: -0.0297189 , theta: -0.00977935
--- 第2个点: x: -0.000399986 , y: -0.0311492 , theta: -0.01025
--- 第3个点: x: -0.000418353 , y: -0.0325795 , theta: -0.0107207
--- 第4个点: x: -0.00043672 , y: -0.0340099 , theta: -0.0111913
--- 第5个点: x: -0.000455086 , y: -0.0354402 , theta: -0.011662
--- 第6个点: x: -0.000473453 , y: -0.0368705 , theta: -0.0121327
--- 第7个点: x: -0.00049182 , y: -0.0383009 , theta: -0.0126033
--- 第8个点: x: -0.000510187 , y: -0.0397312 , theta: -0.013074
--- 第9个点: x: -0.000528553 , y: -0.0411615 , theta: -0.0135447
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.000381619 , y: -0.0297189 , theta: -0.00977935
--- 第1个点: x: -0.000399986 , y: -0.0311492 , theta: -0.01025
--- 第2个点: x: -0.000418353 , y: -0.0325795 , theta: -0.0107207
--- 第3个点: x: -0.00043672 , y: -0.0340099 , theta: -0.0111913
--- 第4个点: x: -0.000455086 , y: -0.0354402 , theta: -0.011662
--- 第5个点: x: -0.000473453 , y: -0.0368705 , theta: -0.0121327
--- 第6个点: x: -0.00049182 , y: -0.0383009 , theta: -0.0126033
--- 第7个点: x: -0.000510187 , y: -0.0397312 , theta: -0.013074
--- 第8个点: x: -0.000528553 , y: -0.0411615 , theta: -0.0135447
--- 第9个点: x: -0.00054692 , y: -0.0425918 , theta: -0.0140153
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.000399986 , y: -0.0311492 , theta: -0.01025
--- 第1个点: x: -0.000418353 , y: -0.0325795 , theta: -0.0107207
--- 第2个点: x: -0.00043672 , y: -0.0340099 , theta: -0.0111913
--- 第3个点: x: -0.000455086 , y: -0.0354402 , theta: -0.011662
--- 第4个点: x: -0.000473453 , y: -0.0368705 , theta: -0.0121327
--- 第5个点: x: -0.00049182 , y: -0.0383009 , theta: -0.0126033
--- 第6个点: x: -0.000510187 , y: -0.0397312 , theta: -0.013074
--- 第7个点: x: -0.000528553 , y: -0.0411615 , theta: -0.0135447
--- 第8个点: x: -0.00054692 , y: -0.0425918 , theta: -0.0140153
--- 第9个点: x: -0.000565287 , y: -0.0440222 , theta: -0.014486
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.000418353 , y: -0.0325795 , theta: -0.0107207
--- 第1个点: x: -0.00043672 , y: -0.0340099 , theta: -0.0111913
--- 第2个点: x: -0.000455086 , y: -0.0354402 , theta: -0.011662
--- 第3个点: x: -0.000473453 , y: -0.0368705 , theta: -0.0121327
--- 第4个点: x: -0.00049182 , y: -0.0383009 , theta: -0.0126033
--- 第5个点: x: -0.000510187 , y: -0.0397312 , theta: -0.013074
--- 第6个点: x: -0.000528553 , y: -0.0411615 , theta: -0.0135447
--- 第7个点: x: -0.00054692 , y: -0.0425918 , theta: -0.0140153
--- 第8个点: x: -0.000565287 , y: -0.0440222 , theta: -0.014486
--- 第9个点: x: -0.000583653 , y: -0.0454525 , theta: -0.0149566
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.00043672 , y: -0.0340099 , theta: -0.0111913
--- 第1个点: x: -0.000455086 , y: -0.0354402 , theta: -0.011662
--- 第2个点: x: -0.000473453 , y: -0.0368705 , theta: -0.0121327
--- 第3个点: x: -0.00049182 , y: -0.0383009 , theta: -0.0126033
--- 第4个点: x: -0.000510187 , y: -0.0397312 , theta: -0.013074
--- 第5个点: x: -0.000528553 , y: -0.0411615 , theta: -0.0135447
--- 第6个点: x: -0.00054692 , y: -0.0425918 , theta: -0.0140153
--- 第7个点: x: -0.000565287 , y: -0.0440222 , theta: -0.014486
--- 第8个点: x: -0.000583653 , y: -0.0454525 , theta: -0.0149566
--- 第9个点: x: -0.00060202 , y: -0.0468829 , theta: -0.0154273
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.000455086 , y: -0.0354402 , theta: -0.011662
--- 第1个点: x: -0.000473453 , y: -0.0368705 , theta: -0.0121327
--- 第2个点: x: -0.00049182 , y: -0.0383009 , theta: -0.0126033
--- 第3个点: x: -0.000510187 , y: -0.0397312 , theta: -0.013074
--- 第4个点: x: -0.000528553 , y: -0.0411615 , theta: -0.0135447
--- 第5个点: x: -0.00054692 , y: -0.0425918 , theta: -0.0140153
--- 第6个点: x: -0.000565287 , y: -0.0440222 , theta: -0.014486
--- 第7个点: x: -0.000583653 , y: -0.0454525 , theta: -0.0149566
--- 第8个点: x: -0.00060202 , y: -0.0468829 , theta: -0.0154273
--- 第9个点: x: -0.000620387 , y: -0.0483132 , theta: -0.015898
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
--- 第0个点: x: -0.000473453 , y: -0.0368705 , theta: -0.0121327
--- 第1个点: x: -0.00049182 , y: -0.0383009 , theta: -0.0126033
--- 第2个点: x: -0.000510187 , y: -0.0397312 , theta: -0.013074
--- 第3个点: x: -0.000528553 , y: -0.0411615 , theta: -0.0135447
--- 第4个点: x: -0.00054692 , y: -0.0425918 , theta: -0.0140153
--- 第5个点: x: -0.000565287 , y: -0.0440222 , theta: -0.014486
--- 第6个点: x: -0.000583653 , y: -0.0454525 , theta: -0.0149566
--- 第7个点: x: -0.00060202 , y: -0.0468829 , theta: -0.0154273
--- 第8个点: x: -0.000620387 , y: -0.0483132 , theta: -0.015898
--- 第9个点: x: -0.000638754 , y: -0.0497435 , theta: -0.0163687
@@@@@@@@ 获得传进来的track 轨迹 segment @@@@@@@@
---- 权重系数： _w_distx: 15000 , _w_disty: 15000 , _w_etheta: 15000 , _w_acc: 1000 , _w_angacc: 1000 , 
